"weight";"word";"color";"url"
"6";"CSS3";"";""
"6";"HTML";"";""
"6";"JavaScript";"";""
"5";"design";"";""
"5";"learned";"";""
"5";"SASS";"";""
"5";"WordPress";"";""
"4";"Duration";"";""
"4";"Github";"";""
"4";"months";"";""
"4";"PROJECT";"";""
"4";"skills";"";""
"4";"Technologies";"";""
"4";"Used";"";""
"4";"website";"";""
"3";"Concept";"";""
"3";"created";"";""
"3";"Design";"";""
"3";"non-profit";"";""
"3";"Profile";"";""
"3";"project";"";""
"3";"team";"";""
"3";"use";"";""
"2";"Agile";"";""
"2";"BEM";"";""
"2";"business";"";""
"2";"Chingu";"";""
"2";"code";"";""
"2";"concept";"";""
"2";"CSS";"";""
"2";"Development";"";""
"2";"Figma";"";""
"2";"Git";"";""
"2";"great";"";""
"2";"HTML/CSS";"";""
"2";"implemented";"";""
"2";"methodology";"";""
"2";"nature";"";""
"2";"Photoshop";"";""
"2";"possible";"";""
"2";"readable";"";""
"2";"remote";"";""
"2";"site";"";""
"2";"WAI";"";""
"2";"Web";"";""
"2";"work";"";""
"1";"0";"";""
"1";"Accessibility";"";""
"1";"accessibility";"";""
"1";"Adaptable";"";""
"1";"adding";"";""
"1";"ADDRESS";"";""
"1";"Adobe";"";""
"1";"AdobeXD";"";""
"1";"aesthetics";"";""
"1";"ahead";"";""
"1";"aimed";"";""
"1";"also";"";""
"1";"approached";"";""
"1";"AREAS";"";""
"1";"asset";"";""
"1";"backend";"";""
"1";"Basic";"";""
"1";"basic";"";""
"1";"benefit";"";""
"1";"best";"";""
"1";"Bootstrap";"";""
"1";"Branching";"";""
"1";"Brief";"";""
"1";"browsers";"";""
"1";"builder";"";""
"1";"can";"";""
"1";"CERTIFICATIONS";"";""
"1";"Chess";"";""
"1";"CHINGU";"";""
"1";"client";"";""
"1";"CMS";"";""
"1";"coding";"";""
"1";"collaborated";"";""
"1";"COLLABORATION";"";""
"1";"Command";"";""
"1";"communicated";"";""
"1";"completed";"";""
"1";"Concluding";"";""
"1";"CONTACT";"";""
"1";"CONTROL";"";""
"1";"core";"";""
"1";"Creative";"";""
"1";"custom";"";""
"1";"dashboard";"";""
"1";"dealing";"";""
"1";"deals";"";""
"1";"DESIGN";"";""
"1";"designer";"";""
